U.S. Energy Information Administration,,,,,,,
March 2022 Monthly Energy Review,,,,,,,
,,,,,,,
Note: Information about data precision.,,,,,,,
,,,,,,,
"Release Date: March 29, 2022",,,,,,,
"Next Update: April 26, 2022",,,,,,,
,,,,,,,
Table 7.6 Electricity End Use,,,,,,,
,,,,,,,
Annual Total,Electricity Retail Sales to the Residential Sector,Electricity Retail Sales to the Commercial Sector,Electricity Retail Sales to the Industrial Sector,Electricity Retail Sales to the Transportation Sector,"Electricity Retail Sales, Total",Electricity Direct Use,"Electricity End Use, Total"
,(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours),(Million Kilowatthours)
2000,1192446.491,1159346.64,1064239.394,5381.743,3421414.268,170942.509,3592356.777
2001,1201606.593,1190517.876,996609.31,5724.325,3394458.104,162648.615,3557106.719
2002,1265179.869,1204531.313,990237.631,5517.198,3465466.011,166184.296,3631650.307
2003,1275823.91,1198727.601,1012373.247,6809.728,3493734.486,168294.526,3662029.012
2004,1291981.578,1230424.731,1017849.532,7223.642,3547479.483,168470.002,3715949.485
2005,1359227.107,1275079.02,1019156.065,7506.321,3660968.513,150015.531,3810984.044
2006,1351520.036,1299743.695,1011297.566,7357.543,3669918.84,146926.612,3816845.452
2007,1392240.996,1336315.196,1027831.925,8172.595,3764560.712,125670.185,3890230.897
2008,1380661.745,1336133.485,1009516.178,7653.211,3733964.619,132196.685,3866161.304
2009,1364758.153,1306852.524,917416.468,7767.989,3596795.134,126937.958,3723733.092
2010,1445708.403,1330199.364,971221.189,7712.412,3754841.368,131910.249,3886751.617
2011,1422801.093,1328057.439,991315.564,7672.084,3749846.18,132754.037,3882600.217
2012,1374514.708,1327101.196,985713.854,7320.028,3694649.786,137656.51,3832306.296
2013,1394812.129,1337078.777,985351.874,7625.041,3724867.821,143461.937,3868329.758
2014,1407208.311,1352158.263,997576.138,7757.555,3764700.267,138573.884,3903274.151
2015,1404096.499,1360751.527,986507.732,7636.632,3758992.389,141167.519,3900159.908
2016,1411058.153,1367191.386,976715.181,7496.91,3762461.63,139836.699,3902298.329
2017,1378647.742,1352887.694,984297.945,7522.593,3723355.974,140959.389,3864315.363
2018,1469093.059,1381754.845,1000672.553,7664.804,3859185.261,143903.732,4003088.993
2019,1440288.909,1360876.555,1002352.849,7632.15,3811150.463,143270.338,3954420.801
2020,1464605.046,1287439.583,959082.028,6547.824,3717674.481,138689.691,3856364.172
2021,1476568.627,1324781.57,986797.351,6391.617,3794539.165,135716.03,3930255.196
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
