YEAR,Year,electricity_price
1992,1992,0.071
1993,1993,0.074
1994,1994,0.078
1995,1995,0.078
1996,1996,0.077
1997,1997,0.077
1998,1998,0.076
1999,1999,0.074
2000,2000,0.076
2001,2001,0.087
2002,2002,0.083
2003,2003,0.090
2004,2004,0.099
2005,2005,0.112
2006,2006,0.133
2007,2007,0.128
2008,2008,0.140
2009,2009,0.129
2010,2010,0.116
2011,2011,0.115
2012,2012,0.114
2013,2013,0.122
2014,2014,0.128
2015,2015,0.125
2016,2016,0.115
2017,2017,0.122
2018,2018,0.134
2019,2019,0.142
2020,2020,0.134
2021,2021,0.139
