DATE,Date,gas_price
1/1/1992,1/1/1992,1.122
2/1/1992,2/1/1992,1.086
3/1/1992,3/1/1992,1.089
4/1/1992,4/1/1992,1.115
5/1/1992,5/1/1992,1.159
6/1/1992,6/1/1992,1.205
7/1/1992,7/1/1992,1.210
8/1/1992,8/1/1992,1.204
9/1/1992,9/1/1992,1.190
10/1/1992,10/1/1992,1.180
11/1/1992,11/1/1992,1.176
12/1/1992,12/1/1992,1.167
1/1/1993,1/1/1993,1.137
2/1/1993,2/1/1993,1.112
3/1/1993,3/1/1993,1.119
4/1/1993,4/1/1993,1.120
5/1/1993,5/1/1993,1.144
6/1/1993,6/1/1993,1.158
7/1/1993,7/1/1993,1.148
8/1/1993,8/1/1993,1.145
9/1/1993,9/1/1993,1.122
10/1/1993,10/1/1993,1.153
11/1/1993,11/1/1993,1.123
12/1/1993,12/1/1993,1.103
1/1/1994,1/1/1994,1.069
2/1/1994,2/1/1994,1.063
3/1/1994,3/1/1994,1.055
4/1/1994,4/1/1994,1.078
5/1/1994,5/1/1994,1.090
6/1/1994,6/1/1994,1.106
7/1/1994,7/1/1994,1.127
8/1/1994,8/1/1994,1.193
9/1/1994,9/1/1994,1.210
10/1/1994,10/1/1994,1.202
11/1/1994,11/1/1994,1.205
12/1/1994,12/1/1994,1.225
1/1/1995,1/1/1995,1.221
2/1/1995,2/1/1995,1.206
3/1/1995,3/1/1995,1.192
4/1/1995,4/1/1995,1.186
5/1/1995,5/1/1995,1.224
6/1/1995,6/1/1995,1.257
7/1/1995,7/1/1995,1.240
8/1/1995,8/1/1995,1.201
9/1/1995,9/1/1995,1.173
10/1/1995,10/1/1995,1.147
11/1/1995,11/1/1995,1.086
12/1/1995,12/1/1995,1.087
1/1/1996,1/1/1996,1.113
2/1/1996,2/1/1996,1.105
3/1/1996,3/1/1996,1.151
4/1/1996,4/1/1996,1.283
5/1/1996,5/1/1996,1.314
6/1/1996,6/1/1996,1.295
7/1/1996,7/1/1996,1.246
8/1/1996,8/1/1996,1.210
9/1/1996,9/1/1996,1.214
10/1/1996,10/1/1996,1.207
11/1/1996,11/1/1996,1.219
12/1/1996,12/1/1996,1.229
1/1/1997,1/1/1997,1.226
2/1/1997,2/1/1997,1.229
3/1/1997,3/1/1997,1.217
4/1/1997,4/1/1997,1.209
5/1/1997,5/1/1997,1.201
6/1/1997,6/1/1997,1.202
7/1/1997,7/1/1997,1.184
8/1/1997,8/1/1997,1.217
9/1/1997,9/1/1997,1.240
10/1/1997,10/1/1997,1.218
